URL	資料名	コマ	郡	石高	石高_数字	旧名など	村名	GeoLOD_ID	GeoLOD_total	緯度	経度	検索リンク
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/2	信濃国郷帳	2	佐久郡	三百九拾三石七斗壱升四合	393.714		軽井沢村	sqqwyW	1	36.350819	138.630157	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=軽井沢村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/2	信濃国郷帳	2	佐久郡	六百五拾石三斗壱升四合	650.314		沓掛村	yyGQ8k	1	36.349632	138.591888	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=沓掛村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	三百五拾三石弐斗九升九合	353.299		借宿村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=借宿村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	三百七拾石八斗四升三合	370.843		追分村	Tw6iSk	3	36.337902	138.54248	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=追分村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	百七拾八石弐升六合	178.026		草越村	ZEuGuJ	1	36.311985	138.529114	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=草越村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	百四拾六石九斗五升弐合	146.952		茂沢村	WAesE1	1	36.302765	138.571304	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=茂沢村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	三百五石五斗八升三合	305.583		油井村	H0kwCu	1	36.331028	138.583176	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=油井村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	七百四拾弐石七斗壱升九合	742.719		発地村	M8IUeT	1	36.302956	138.61795	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=発地村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	百九拾石九斗九升弐合	190.992		馬取萱村	QsY84C	1	36.298168	138.6147	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=馬取萱村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/3	信濃国郷帳	3	佐久郡	弐千弐百拾三石八斗五升壱合	2213.851		志賀村	MNQNYX	1	36.243195	138.566666	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=志賀村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	五百拾六石九斗九升九合	516.999		香坂村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=香坂村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	百八拾弐石六斗三升	182.63		香坂新田村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=香坂新田村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	千三百拾五石七斗三升六合	1315.736		安原村	Weuoq5	1	36.268017	138.50856	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=安原村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	八百三拾六石壱斗七升壱合三勺	836.171		下平尾村	KIICcg	1	36.276241	138.536667	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=下平尾村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	六百五拾弐石四斗五升弐合	652.452		上平尾村	HEAsoy	1	36.286541	138.512314	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=上平尾村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	三百九拾壱石七斗四升九合	391.749		横根村	Bg40K8	1	36.290783	138.498657	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=横根村
https://honkoku.org/app/#/transcription/4DF624DE83BEC0C567B7DAC337AB063F/4	信濃国郷帳	4	佐久郡	百三拾六石壱斗四升九合	136.149		面替村	bagsIz	1	36.292904	138.523376	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=面替村
