URL	資料名	コマ	郡	石高	石高_数字	旧名など	村名	GeoLOD_ID	GeoLOD_total	緯度	経度	検索リンク
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/2	武蔵国郷帳　上	2	豊嶋郡	六拾五石八斗三升四合	65.834		金杉町		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=金杉町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/2	武蔵国郷帳　上	2	豊嶋郡	六拾九石八斗八升三合	69.883		芝町		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=芝町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	八拾壱石壱斗八升三合九勺	81.183		飯倉町	eEqNEl	7	35.660301	139.738663	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=飯倉町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	三百弐拾六石壱斗壱升七合壱勺六才	326.117		麻布町		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=麻布町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	百四拾三石七斗八合六勺七才	143.708		下豊澤村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=下豊澤村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	百弐拾石弐斗壱升七合	120.217		中豊澤村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=中豊澤村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	四拾三石七斗七升四合四勺	43.774		上豊澤村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=上豊澤村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	百七拾五石三斗壱升四合	175.314		上渋谷村	6QiwsI	1	35.666182	139.69909	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=上渋谷村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	弐百三拾四石八斗八升八合六勺五才	234.888		中渋谷村	lqkAyi	1	35.657633	139.697335	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=中渋谷村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/3	武蔵国郷帳　上	3	豊嶋郡	三百六拾六石九斗八升三合八勺	366.983		下渋谷村	uSQ8Yp	1	35.650618	139.711522	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=下渋谷村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	弐拾三石三升壱合	23.031		渋営宮前町		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=渋営宮前町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	六拾四石六斗壱升四合	64.614		桜田町	5OEiu9	3	35.658191	139.726704	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=桜田町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	六石九斗四升八合	6.948		市兵衛町	TW8s0o	1	35.664677	139.738609	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=市兵衛町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	六拾石五斗四升四合九勺三才	60.544		一ッ木村	tgnc00	1	36.067036	139.463409	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=一ッ木村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	拾壱石四升三合	11.043		谷町	p6SAnP	45	35.443216	139.581056	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=谷町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	六拾五石三斗七升七合三勺	65.377		今井村	EGUAqm	1	35.447571	139.555069	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=今井村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	弐百五拾八石六斗六合七勺四才	258.606		原宿村	6aAsKE	1	35.379879	139.517395	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=原宿村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/4	武蔵国郷帳　上	4	豊嶋郡	弐拾八石九斗五升三合	28.953		龍土町		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=龍土町
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/5	武蔵国郷帳　上	5	豊嶋郡	九拾四石五斗七升壱合七才	94.571		穏田村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=穏田村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/5	武蔵国郷帳　上	5	豊嶋郡	四百七拾三石壱斗七升六合	473.176		千駄ヶ谷村	Y2N44u	1	35.680981	139.70675	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=千駄ヶ谷村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/5	武蔵国郷帳　上	5	豊嶋郡	八百拾四石五斗壱升七勺	814.51		代々木村	p8AUoS	1	35.673298	139.686992	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=代々木村
https://honkoku.org/app/#/transcription/1EA93DA1FDD26805414CCFACE0C7C65F/5	武蔵国郷帳　上	5	豊嶋郡	弐百六拾四石壱斗五升九合九勺四才	264.159		幡ヶ谷村	scI4cA	1	35.680532	139.675508	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=幡ヶ谷村
