URL	資料名	コマ	郡	石高	石高_数字	旧名など	村名	GeoLOD_ID	GeoLOD_total	緯度	経度	検索リンク
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/2	豊後国郷帳	2	国東郡	百三石壱升三合	103.013		陽平村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=陽平村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/2	豊後国郷帳	2	国東郡	六拾七石六斗三升弐合	67.632		園木村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=園木村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	四拾八石三斗四升九合	48.349		田之口村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=田之口村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	六拾七石八斗六升七合	67.867		大曲村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=大曲村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	百六拾三石九斗八升九合	163.989		真木村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=真木村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	百三石八斗壱合	103.801	《割書：《場所：真木村》枝郷》	菊山村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=菊山村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	七拾三石八斗三升六合	73.836		間戸村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=間戸村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	八拾八石八斗六升	88.86		熊野村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=熊野村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	三百九拾弐石三斗弐合	392.302		上野村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=上野村
https://honkoku.org/app/#/transcription/3655CEDCE2A7A412791DB77E09606E54/3	豊後国郷帳	3	国東郡	弐百五拾四石九斗九合	254.909		中村	LakKQD	1	33.203438	131.597839	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=中村
