URL	資料名	コマ	郡	石高	石高_数字	旧名など	村名	GeoLOD_ID	GeoLOD_total	緯度	経度	検索リンク
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/2	陸奥国郷帳　４	2		三百九石六斗弐升四合	309.624		郷野目村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=郷野目村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/2	陸奥国郷帳　４	2		四百八拾弐石三斗壱升壱合	482.311		鳥谷野村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=鳥谷野村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		三百七拾石七斗三升八合	370.738		小倉寺村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=小倉寺村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		四百五拾壱石五斗八合	451.508		黒岩村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=黒岩村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		弐百五拾七石九斗三升九合	257.939		大蔵寺村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=大蔵寺村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		三百拾九石弐升壱合	319.021		伏拝村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=伏拝村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		五百四拾四石四斗七升九合	544.479		田沢村	y6Gwcq	2	40.857464	140.655701	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=田沢村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		弐百三拾七石八斗壱升六合	237.816		清水町村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=清水町村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		四百弐拾六石七斗八升弐合	426.782		石名坂村	Qks8Sw	1	40.625847	140.63092	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=石名坂村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/3	陸奥国郷帳　４	3		千七百拾九石九合	1719.009		浅川村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=浅川村
https://honkoku.org/app/#/transcription/8FD282F8A86B131B2D901A69F56B73D3/4	陸奥国郷帳　４	4		弐百弐拾壱石七斗六升弐合	221.762		浅川新町村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=浅川新町村
